Slovakia Mobile Telefonica O2,1/1
Slovenia,1/1
Slovenia Alternative Networks A,1/1
Slovenia Alternative Networks B,1/1
Slovenia Mobile,1/1
Slovenia Mobile Mobiltel,1/1
Slovenia Mobile Simobil,1/1
Slovenia Special Services,1/1
Solomon Islands,60/60
Somalia,1/1
Somalia Mobile,1/1
South Africa,1/1
South Africa Mobile,1/1
South Africa Mobile CellC,1/1
South Africa Mobile MTN,1/1
South Africa Mobile Telkom,1/1
South Africa Mobile Vodacom,1/1
South Africa VANS,1/1
South Korea,60/1
South Korea Mobile,60/1
South Korea Mobile KT,60/1
South Korea Mobile LG,60/1
South Korea Mobile SKT,60/1
South Sudan,1/1
South Sudan Mobile,1/1
South Sudan Mobile MTN,1/1
South Sudan Mobile Zain,1/1
South Sudan Special Services,1/1
Spain,1/1
Spain Mobile,1/1
Spain Mobile Orange,1/1
Spain Mobile Telefonica,1/1
Spain Mobile Vodafone,1/1
Spain Mobile Xfera,1/1
Spain Special Services,1/1
Sri Lanka,60/60
Sri Lanka Fixed Dialog,60/60
Sri Lanka Lankabell,60/60
Sri Lanka Mobile Airtel,60/60
Sri Lanka Mobile Dialog,60/60
Sri Lanka Mobile Etisalat,60/60
Sri Lanka Mobile Hutch,60/60
Sri Lanka Mobile Mobitel,60/60
Sri Lanka SLT,60/60
St Helena,60/60
St Kitts and Nevis,1/1
St Kitts and Nevis Mobile,1/1
St Kitts and Nevis Mobile Digicel,1/1
St Lucia,1/1
St Lucia Mobile,1/1
St Lucia Mobile Digicel,1/1
St Maarten,1/1
St Pierre and Miquelon,1/1
St Pierre and Miquelon Mobile,1/1
St Vincent and Grenadines,1/1
St Vincent and Grenadines M Digicel,1/1
St Vincent and Grenadines Mobile,1/1
Sudan,60/60
Sudan Mobile MTN,1/1
Sudan Mobile Sudani,60/60
Sudan Mobile Zain,60/1
Suriname,60/60
Suriname Mobile,60/60
Suriname Mobile Digicel,60/60
Swaziland,1/1
Swaziland Mobile,1/1
Sweden,1/1
Sweden Mobile,1/1
Sweden Mobile H3G,1/1
Sweden Mobile Tele2,1/1
Sweden Mobile Telenor,1/1
Sweden Mobile Telia,1/1
Sweden Paging,1/1
Switzerland,1/1
Switzerland Mobile,1/1
Switzerland Mobile Inphone,1/1
Switzerland Mobile Lycatel,1/1
Switzerland Mobile Orange,1/1
Switzerland Mobile Sunrise,1/1
Switzerland Mobile Swisscom,1/1
Syria,1/1
Syria Mobile,1/1
Syria Mobile MTN,1/1
Taiwan,1/1
Taiwan Mobile,1/1
Taiwan Mobile CHT,1/1
Taiwan Mobile FET,1/1
Taiwan Mobile TFN,1/1
Tajikistan,1/1
Tajikistan Mobile,1/1
Tajikistan Mobile Babilon,1/1
Tajikistan Mobile TT-Mobile,1/1
Tajikistan Mobile Tacom,1/1
Tajikistan Mobile Tcell,1/1
Tajikistan Special Services,1/1
Tanzania,1/1
Tanzania Mobile,1/1
Tanzania Mobile Celtel,1/1
Tanzania Mobile Mobitel,1/1
Tanzania Mobile Vodacom,1/1
Tanzania Mobile Zantel,1/1
Thailand,60/1
Thailand Bangkok,60/1
Thailand Mobile,60/1
Thailand Mobile AIN,60/1
Thailand Mobile Dtac,60/1
Thailand Mobile True,60/1
Thuraya Satellite,60/60
Togo,1/1
Togo Mobile,1/1
Togo Mobile Moov,1/1
Tokelau,60/60
Tonga,60/60
Trinidad & Tobago,1/1
Trinidad & Tobago Mobile,1/1
Trinidad & Tobago Mobile Digicel,1/1
Tunisia,1/1
Tunisia Mobile,1/1
Tunisia Mobile Ooredoo,1/1
Tunisia Mobile Orange,1/1
Turkey,1/1
Turkey Mobile,1/1
Turkey Mobile Aycell,1/1
Turkey Mobile Turkcell,1/1
Turkey Mobile Turkcell Northern Cyprus,1/1
Turkey Mobile Vodafone,1/1
Turkey Mobile Vodafone Northern Cyprus,1/1
Turkey Northern Cyprus,1/1
Turkmenistan,1/1
Turkmenistan Mobile,1/1
Turks & Caicos Islands,1/1
Turks & Caicos Islands Mobile,1/1
Turks & Caicos Islands Mobile Digicel,1/1
Tuvalu,60/60
UAE,1/1
UAE DU,1/1
UAE Mobile,1/1
UAE Mobile DU,1/1
UK,1/1
UK Corporate Numbers,1/1
UK Freephone,1/1
UK Local Call,1/1
UK Mobile,1/1
UK Mobile H3G,1/1
UK Mobile Lycamobile,1/1
UK Mobile O2,1/1
UK Mobile Orange,1/1
UK Mobile TMobile,1/1
UK Mobile Vodafone,1/1
UK National Call,1/1
UK National Call Plus,1/1
UK Personal No,1/1
UK VOIP,1/1
UK Wide Call,1/1
US Virgin Islands,1/1
USA,1/1
USA Alaska,1/1
USA Hawaii,1/1
USA Toll Free,1/1
Uganda,1/1
Uganda Mobile,1/1
Uganda Mobile Airtel,1/1
Uganda Mobile Gemtel,1/1
Uganda Mobile MTN,1/1
Uganda Mobile Ugatel,1/1
Uganda Special Services,1/1
Ukraine,1/1
Ukraine Kiev,1/1
Ukraine Mobile,1/1
Ukraine Mobile Astelit,1/1
Ukraine Mobile Kyivstar,1/1
Ukraine Mobile UMC,1/1
